41;48;49;50
2;106;54;8
1;5;6;6
2;12;16;0
2;39;56;11
1;4;10;13
1;0;0;38
2;4;5;2
1;9;0;12
2;4;1;14
2;92;80;36
2;1;5;19
2;2;3;0
2;38;256;633
1;0;0;13
1;7;5;169
1;40;10;40
2;0;1;2
1;37;45;10
1;1;1;201
2;46;1;163
1;21;24;1
1;35;18;20
2;19;723;488
2;71;18;174
2;1;0;0
2;7;5;62
2;4;23;7
2;2;3;1179
2;7;7;8
2;13;24;0
2;1;0;38
2;6;1;31
2;16;717;192
1;25;103;788
2;0;0;48
2;6;4;0
2;4;8;7
2;35;93;45
2;1;0;0
2;15;12;104
2;174;206;29
1;5;2;8
2;0;0;6
1;27;50;41
2;20;5;172
1;134;59;12
2;10;19;300
1;6;21;0
2;0;0;0
1;22;2545;2131
2;0;0;38
1;134;360;184
1;21;32;6
2;1;1;9
2;4;1;7
2;39;81;6
2;14;10682;1117
2;0;0;9
1;0;0;96
1;0;0;12
2;7;16;0
2;6;0;0
2;3;2;162
1;1;1;3
2;4;6;2
1;0;0;14
1;0;0;45
2;0;0;0
2;0;6;0
2;0;0;6
1;35;37;5
2;15;57;8
1;8;22;33
2;1;0;15
1;0;0;32
2;27;981;96
2;0;0;38
2;14;3;38
1;18;9;106
2;139;506;68
1;0;0;0
1;121;89;60
1;10;149;162
1;27;3;4
2;1;1;0
2;20;10;181
1;2;4;0
2;0;0;62
1;0;0;7
1;54;26;343
2;25;30;3
2;98;12;252
2;0;0;0
2;0;0;62
1;5;5;6
2;5;2;1
2;21;116;81
1;17;16;0
2;72;337;251
2;8;48;62
2;5;42;0
2;22;14;1
1;0;0;38
2;12;19;0
2;3;6;2
1;702;5642;516
1;8;22;33
2;43;29;138
1;9;11;1
2;31;1;68
1;1;7;204
1;27;3;12
2;2;2;1
1;7;7;3
2;15;19;8
1;27;9;144
1;32;16;5
2;5;968;486
1;24;180;38
1;13;79;32
1;0;0;6
1;23;3;11
1;5;10;0
1;15;2;9
2;4;79;59
1;0;0;204
2;4;2;0
2;19;224;19
1;28;6;936
1;0;0;0
2;5;4;12
2;111;3;1309
2;123;265;10
2;11;12;397
2;2;4;365
2;0;0;19
2;4;1;5
1;3;2;6
2;1;1;0
1;45;28;35
1;1;0;1
2;2;1;0
1;0;0;0
2;0;0;11
2;22;33;16
2;11;38;0
1;6;3;2
2;49;40;70
2;735;4059;6
1;6;22;46
2;64;70;12
2;29;104;25
2;63;1006;378
2;17;17;1
1;4;7;6
2;30;17;1
2;1;0;0
2;9;3;15
2;1;3;10
2;8;12;0
2;10;6;0
2;17;15;90
2;0;0;10
1;29;674;667
1;4;5;3
1;0;0;9
1;49;37;4
1;102;1183;46
1;2;9;23
1;13;0;19
2;32;58;0
1;11;13;100
2;0;0;38
2;42;30;42
2;5;1;1
2;16;1;1
2;2;4;0
2;16;6;11